id;foldernumber;LC50_predicted;predform;predion;dtxsid
Minc270047;184;-0.7582402229309082;C26H28Cl2N4O4;C26H28Cl2N4O4_[M+H]+;DTXSID7029879
SBinc270001;202;-0.23354285955429077;C2H4N4;C2H4N4_[M+H]+;DTXSID0020076
SBinc270002;203;-0.2908437252044678;C2H6N4O;C2H6N4O_[M+H]+;DTXSID3043811
SBinc270003;204;0.324769526720047;C5H9N3;C5H9N3_[M+H]+;DTXSID4023125
SBinc270004;205;-1.2995996475219727;C6H5N3;C6H5N3_[M+H]+;DTXSID6020147
SBinc270005;206;0.22630846500396729;C4H11N5;C4H11N5_[M+H]+;DTXSID2023270
SBinc270006;207;-0.78920578956604;C7H7N3;C7H7N3_[M+H]+;DTXSID1038743
SBinc270007;208;-0.9578496217727661;C7H6N2S;C7H6N2S_[M+H]+;DTXSID1024467
SBinc270008;209;-0.9245531558990479;C6H4ClN3;C6H4ClN3_[M+H]+;DTXSID0047450
SBinc270009;210;-1.088936686515808;C5H9N5O;C5H9N5O_[M+H]+;DTXSID6074756
SBinc270010;211;-0.24294602870941162;C7H5N3O2;C7H5N3O2_[M+H]+;DTXSID10881049
SBinc270011;212;-0.9559229612350464;C6H11N5O;C6H11N5O_[M+H]+;DTXSID80173802
SBinc270012;213;-1.43538236618042;C9H9FN2O;C9H9FN2O_[M+H]+;DTXSID2059069
SBinc270013;214;-0.6543701887130737;C6H10ClN5;C6H10ClN5_[M+H]+;DTXSID5037494
SBinc270014;215;-1.0001453161239624;C8H10N4O2;C8H10N4O2_[M+H]+;DTXSID0020232
SBinc270015;216;-0.878864049911499;C8H15N5O;C8H15N5O_[M+H]+;DTXSID6037807
SBinc270016;217;-1.0251235961914063;C7H12ClN5;C7H12ClN5_[M+H]+;DTXSID4021268
SBinc270017;218;-1.0108122825622559;C5H12NO4PS;C5H12NO4PS_[M+H]+;DTXSID4037580
Minc270010;28;-1.4489638805389404;C9H17N5O;C9H17N5O_[M+H]+;DTXSID0037493
Minc270048;66;-1.4439243078231812;C30H41FN2O10;C30H41FN2O10_[M+H]+;DTXSID7021237
SBinc270041;122;-0.40042614936828613;C7H5N3O2;C7H5N3O2_[M-H]-;DTXSID10881049
SBinc270042;123;-0.9559229612350464;C6H11N5O;C6H11N5O_[M-H]-;DTXSID80173802
SBinc270043;124;-0.26430296897888184;C15H21NO4;C15H21NO4_[M-H]-;DTXSID6037568
SBinc270044;125;-1.2921456098556519;C7H6ClN3O4S2;C7H6ClN3O4S2_[M-H]-;DTXSID0022800
SBinc270045;126;-2.632859230041504;C14H9ClF3NO2;C14H9ClF3NO2_[M-H]-;DTXSID9046029
SBinc270046;127;-0.8916733264923096;C15H23NO5S;C15H23NO5S_[M-H]-;DTXSID1037567
SBinc270048;129;-1.5037312507629395;C44H47N7O7;C44H47N7O7_[M-H]-;DTXSID7045998
Einc270016;134;-1.0178698301315308;C9H9Cl2NO;C9H9Cl2NO_[M-H]-;DTXSID8022111
Einc270017;135;-2.2556519508361816;C16H14O3;C16H14O3_[M-H]-;DTXSID6020771
Einc270018;136;-1.0664736032485962;C16H19N3O4S;C16H19N3O4S_[M-H]-;DTXSID4022602
Einc270019;137;-0.9536352157592773;C17H23FN4O7S;C17H23FN4O7S_[M-H]-;DTXSID6046898
Minc270049;186;-0.5688905715942383;C6H13NO3S;C6H13NO3S_[M-H]-;DTXSID5041809
Minc270050;187;-1.0238374471664429;C7H8N4O2;C7H8N4O2_[M-H]-;DTXSID5021336
Minc270051;188;-2.082376003265381;C10H8ClN3O;C10H8ClN3O_[M-H]-;DTXSID3034872
Minc270052;189;-1.2460156679153442;C9H10Cl2N2O;C9H10Cl2N2O_[M-H]-;DTXSID0020446
Minc270053;190;-0.6646225452423096;C9H10F4O3;C9H10F4O3_[M-H]-;DTXSID4032611
Minc270056;193;-0.9091254472732544;C13H12F2N6O;C13H12F2N6O_[M-H]-;DTXSID3020627
Minc270057;194;-1.2863130569458008;C11H12Cl2N2O5;C11H12Cl2N2O5_[M-H]-;DTXSID7020265
Minc270058;195;-1.2587207555770874;C12H11ClN2O5S;C12H11ClN2O5S_[M-H]-;DTXSID6020648
Minc270059;196;-1.5602741241455078;C11H12ClFN2O5S;C11H12ClFN2O5S_[M-H]-;DTXSID4022812
Minc270060;197;-0.6907476186752319;C14H15N5O6S;C14H15N5O6S_[M-H]-;DTXSID6023864
Minc270061;198;-1.5306165218353271;C24H32N2O5;C24H32N2O5_[M-H]-;DTXSID0023169
Minc270062;199;-2.093456745147705;C16H8F6N6O2;C16H8F6N6O2_[M-H]-;DTXSID2022678
Minc270063;200;-1.279011607170105;C24H29N5O3;C24H29N5O3_[M-H]-;DTXSID6023735
Minc270064;201;-1.6774647235870361;C24H34N4O5S;C24H34N4O5S_[M-H]-;DTXSID5040675
