absoluteIndex,description,rowpos,rowneg,fp_type,colnam
1697,[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH]nc3c([!#1])n[cH]nc23,592,612,KlekotaRoth,Un1697
1698,[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH],593,613,KlekotaRoth,Un1698
1699,[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH],594,614,KlekotaRoth,Un1699
1700,[!#1][CH]1O[CH]([CH3])[CH]([OH])[CH]([OH])[CH]1[OH],595,615,KlekotaRoth,Un1700
1705,[!#1][CH2][!#1],596,616,KlekotaRoth,Un1705
1706,[!#1][CH2][CH]([!#1])[!#1],597,617,KlekotaRoth,Un1706
1707,[!#1][CH2][CH]([!#1])[CH3],598,618,KlekotaRoth,Un1707
1708,[!#1][CH2][CH]([!#1])[OH],599,619,KlekotaRoth,Un1708
1710,[!#1][CH2][CH]([!#1])C(=O)[!#1],600,620,KlekotaRoth,Un1710
1711,[!#1][CH2][CH]([!#1])C(=O)[NH][!#1],601,621,KlekotaRoth,Un1711
1712,[!#1][CH2][CH]([!#1])C(=O)[OH],602,622,KlekotaRoth,Un1712
1715,[!#1][CH2][CH]([CH3])[CH3],603,623,KlekotaRoth,Un1715
1722,[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[NH][!#1],606,624,KlekotaRoth,Un1722
1723,[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH],607,625,KlekotaRoth,Un1723
1733,[!#1][CH2][CH]([NH2])C(=O)[OH],610,626,KlekotaRoth,Un1733
1734,[!#1][CH2][CH]([OH])[CH2][!#1],611,627,KlekotaRoth,Un1734
1736,[!#1][CH2][CH]([OH])[CH2][OH],613,628,KlekotaRoth,Un1736
1744,[!#1][CH2][CH]([OH])[CH2]O[!#1],614,629,KlekotaRoth,Un1744
1746,[!#1][CH2][CH]=[CH][!#1],615,630,KlekotaRoth,Un1746
1752,[!#1][CH2][CH2][CH2][!#1],618,631,KlekotaRoth,Un1752
1754,[!#1][CH2][CH2][CH2][CH2][!#1],619,632,KlekotaRoth,Un1754
1756,[!#1][CH2][CH2][CH2][CH2][CH2][CH2][!#1],620,634,KlekotaRoth,Un1756
1757,[!#1][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3],621,635,KlekotaRoth,Un1757
1758,[!#1][CH2][CH2][CH2][CH2][CH2][CH3],622,636,KlekotaRoth,Un1758
1759,[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[NH][!#1],623,637,KlekotaRoth,Un1759
1760,[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[OH],624,638,KlekotaRoth,Un1760
1762,[!#1][CH2][CH2][CH2][CH2][CH3],625,639,KlekotaRoth,Un1762
1766,[!#1][CH2][CH2][CH2][CH2]C(=O)[OH],627,640,KlekotaRoth,Un1766
1770,[!#1][CH2][CH2][CH2][CH3],629,641,KlekotaRoth,Un1770
1774,[!#1][CH2][CH2][CH2][NH2],632,642,KlekotaRoth,Un1774
1776,[!#1][CH2][CH2][CH2]C(=O)[!#1],633,643,KlekotaRoth,Un1776
1777,[!#1][CH2][CH2][CH2]C(=O)[NH][!#1],634,644,KlekotaRoth,Un1777
1778,[!#1][CH2][CH2][CH2]C(=O)[OH],635,645,KlekotaRoth,Un1778
1790,[!#1][CH2][CH2][CH3],638,646,KlekotaRoth,Un1790
1791,[!#1][CH2][CH2][NH][!#1],639,647,KlekotaRoth,Un1791
1795,[!#1][CH2][CH2][NH]C(=O)[!#1],640,648,KlekotaRoth,Un1795
1799,[!#1][CH2][CH2][NH]C(=O)[CH2][CH2][!#1],641,649,KlekotaRoth,Un1799
1805,[!#1][CH2][CH2][NH2],642,650,KlekotaRoth,Un1805
1809,[!#1][CH2][CH2]C(=O)[!#1],644,651,KlekotaRoth,Un1809
1811,[!#1][CH2][CH2]C(=O)[NH][!#1],645,652,KlekotaRoth,Un1811
1816,[!#1][CH2][CH2]C(=O)[NH2],646,653,KlekotaRoth,Un1816
1817,[!#1][CH2][CH2]C(=O)[OH],647,654,KlekotaRoth,Un1817
1818,[!#1][CH2][CH2]C(=O)O[!#1],648,655,KlekotaRoth,Un1818
1821,[!#1][CH2][CH2]c1[cH][cH][cH][cH][cH]1,651,656,KlekotaRoth,Un1821
1843,[!#1][CH2][CH2]N([!#1])[CH3],654,657,KlekotaRoth,Un1843
1850,[!#1][CH2][CH2]N([CH3])[CH3],657,658,KlekotaRoth,Un1850
1852,[!#1][CH2][CH2]O[!#1],658,659,KlekotaRoth,Un1852
1866,[!#1][CH2][CH2]S[!#1],662,660,KlekotaRoth,Un1866
1875,[!#1][CH2][NH][!#1],663,661,KlekotaRoth,Un1875
1888,[!#1][CH2][NH]C(=O)[!#1],665,662,KlekotaRoth,Un1888
1889,[!#1][CH2][NH]C(=O)[CH]([!#1])[CH2][!#1],666,663,KlekotaRoth,Un1889
1891,[!#1][CH2][NH]C(=O)[CH2][!#1],667,664,KlekotaRoth,Un1891
1901,[!#1][CH2][NH2],669,665,KlekotaRoth,Un1901
1902,[!#1][CH2][OH],670,666,KlekotaRoth,Un1902
1912,[!#1][CH2]C(=O)[!#1],671,667,KlekotaRoth,Un1912
1914,[!#1][CH2]C(=O)[NH][!#1],672,668,KlekotaRoth,Un1914
1916,[!#1][CH2]C(=O)[NH][CH]([!#1])C(=O)[NH][!#1],673,669,KlekotaRoth,Un1916
1955,[!#1][CH2]C(=O)[NH2],675,670,KlekotaRoth,Un1955
1956,[!#1][CH2]C(=O)[OH],676,671,KlekotaRoth,Un1956
1965,[!#1][CH2]C(=O)O[!#1],677,672,KlekotaRoth,Un1965
1974,[!#1][CH2]c1[cH][cH][cH][cH][cH]1,680,673,KlekotaRoth,Un1974
1990,[!#1][CH2]c1[cH][cH]c([!#1])[cH][cH]1,681,674,KlekotaRoth,Un1990
2007,[!#1][CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12,686,675,KlekotaRoth,Un2007
2013,[!#1][CH2]N([!#1])[CH2][!#1],688,676,KlekotaRoth,Un2013
2016,[!#1][CH2]N([!#1])[CH3],690,677,KlekotaRoth,Un2016
2018,[!#1][CH2]N([!#1])C(=O)[!#1],691,678,KlekotaRoth,Un2018
2037,[!#1][CH2]N([CH3])[CH3],696,679,KlekotaRoth,Un2037
2055,[!#1][CH2]O[!#1],698,680,KlekotaRoth,Un2055
2062,[!#1][CH2]OC(=O)[!#1],701,681,KlekotaRoth,Un2062
2071,[!#1][CH2]S(=O)(=O)[!#1],704,682,KlekotaRoth,Un2071
2073,[!#1][CH2]S[!#1],705,683,KlekotaRoth,Un2073
2085,[!#1][NH][!#1],706,685,KlekotaRoth,Un2085
2086,[!#1][NH][CH]([!#1])[!#1],707,686,KlekotaRoth,Un2086
2087,[!#1][NH][CH]([!#1])[CH]([CH3])[CH3],708,687,KlekotaRoth,Un2087
2088,[!#1][NH][CH]([!#1])[CH2][CH]([!#1])[CH3],709,688,KlekotaRoth,Un2088
2090,[!#1][NH][CH]([!#1])[CH2]C(=O)[!#1],710,689,KlekotaRoth,Un2090
2091,[!#1][NH][CH]([!#1])[CH3],711,690,KlekotaRoth,Un2091
2098,[!#1][NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[!#1],712,692,KlekotaRoth,Un2098
2105,[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[!#1],714,693,KlekotaRoth,Un2105
2106,[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[OH],715,694,KlekotaRoth,Un2106
2107,[!#1][NH][CH]([CH2]c1[cH][cH]c([OH])[cH][cH]1)C(=O)[!#1],716,695,KlekotaRoth,Un2107
2108,[!#1][NH][CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)C(=O)[!#1],717,696,KlekotaRoth,Un2108
2115,[!#1][NH][CH]([CH3])C(=O)[!#1],720,697,KlekotaRoth,Un2115
2186,[!#1][NH][CH2][CH2]C(=O)[!#1],725,698,KlekotaRoth,Un2186
2198,[!#1][NH][CH2]C(=O)[!#1],728,699,KlekotaRoth,Un2198
2199,[!#1][NH][CH2]C(=O)[NH][!#1],729,700,KlekotaRoth,Un2199
2205,[!#1][NH][CH2]C(=O)[OH],730,701,KlekotaRoth,Un2205
2247,[!#1][NH]C(=O)[!#1],733,702,KlekotaRoth,Un2247
2248,[!#1][NH]C(=O)[CH]([!#1])[!#1],734,703,KlekotaRoth,Un2248
2249,[!#1][NH]C(=O)[CH]([!#1])[CH]([CH3])[CH3],735,704,KlekotaRoth,Un2249
2250,[!#1][NH]C(=O)[CH]([!#1])[CH3],736,705,KlekotaRoth,Un2250
2298,[!#1][NH]C(=O)[CH3],740,706,KlekotaRoth,Un2298
2299,[!#1][NH]C(=O)[NH][!#1],741,707,KlekotaRoth,Un2299
2344,[!#1][NH]C(=S)[!#1],744,708,KlekotaRoth,Un2344
2380,[!#1][NH]c1[cH][cH][cH][cH][cH]1,745,710,KlekotaRoth,Un2380
2547,[!#1][NH]S(=O)(=O)[!#1],747,711,KlekotaRoth,Un2547
2555,[!#1][O-],748,712,KlekotaRoth,Un2555
2562,[!#1]C([!#1])([!#1])[!#1],749,713,KlekotaRoth,Un2562
2564,[!#1]C([!#1])([!#1])[CH3],750,714,KlekotaRoth,Un2564
2565,[!#1]C([!#1])([!#1])[OH],751,715,KlekotaRoth,Un2565
2568,[!#1]C([!#1])([CH3])[CH3],753,716,KlekotaRoth,Un2568
2581,[!#1]C([CH3])([CH3])[CH3],755,717,KlekotaRoth,Un2581
2601,[!#1]C(=O)[!#1],756,718,KlekotaRoth,Un2601
2636,[!#1]C(=O)[CH2][CH2]C(=O)[!#1],759,719,KlekotaRoth,Un2636
2648,[!#1]C(=O)[CH2][NH]C(=O)[!#1],761,721,KlekotaRoth,Un2648
2649,[!#1]C(=O)[CH2][NH2],762,722,KlekotaRoth,Un2649
2671,[!#1]C(=O)[CH3],765,723,KlekotaRoth,Un2671
2672,[!#1]C(=O)[NH][CH]([CH]([CH3])[CH3])C(=O)[OH],766,724,KlekotaRoth,Un2672
2703,[!#1]C(=O)[NH][CH2]C(=O)[OH],768,725,KlekotaRoth,Un2703
2813,[!#1]C(=O)[NH2],772,726,KlekotaRoth,Un2813
2815,[!#1]C(=O)C([!#1])([!#1])[CH3],773,727,KlekotaRoth,Un2815
2816,[!#1]C(=O)C([!#1])([!#1])[OH],774,728,KlekotaRoth,Un2816
2835,[!#1]C(=O)c1[cH][cH][cH][cH]c1[!#1],777,730,KlekotaRoth,Un2835
2860,[!#1]C(=O)c1[cH][cH]c([!#1])[cH][cH]1,781,731,KlekotaRoth,Un2860
2871,[!#1]C(=O)c1[cH][cH]c([OH])[cH][cH]1,782,732,KlekotaRoth,Un2871
2928,[!#1]C(=O)O[CH2][CH3],787,733,KlekotaRoth,Un2928
2932,[!#1]C(=O)O[CH3],788,734,KlekotaRoth,Un2932
2933,[!#1]C(=O)OC([CH3])([CH3])[CH3],789,735,KlekotaRoth,Un2933
2974,[!#1]c1[cH][cH][cH][cH]c1[!#1],791,736,KlekotaRoth,Un2974
3046,[!#1]c1[cH][cH][cH]s1,800,737,KlekotaRoth,Un3046
3050,[!#1]c1[cH][cH]c([!#1])[cH][cH]1,801,738,KlekotaRoth,Un3050
3053,[!#1]c1[cH][cH]c([!#1])c([!#1])[cH]1,802,739,KlekotaRoth,Un3053
3061,[!#1]c1[cH][cH]c([!#1])c([OH])[cH]1,804,740,KlekotaRoth,Un3061
3062,[!#1]c1[cH][cH]c([!#1])c(Cl)[cH]1,805,741,KlekotaRoth,Un3062
3132,[!#1]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1],808,742,KlekotaRoth,Un3132
3177,[!#1]c1[cH][cH]c([OH])[cH][cH]1,810,744,KlekotaRoth,Un3177
3179,[!#1]c1[cH][cH]c([OH])c([!#1])[cH]1,811,745,KlekotaRoth,Un3179
3181,[!#1]c1[cH][cH]c([OH])c([OH])[cH]1,812,746,KlekotaRoth,Un3181
3194,[!#1]c1[cH][cH]c(Cl)[cH][cH]1,813,748,KlekotaRoth,Un3194
3195,[!#1]c1[cH][cH]c(Cl)[cH]c1[!#1],814,749,KlekotaRoth,Un3195
3206,[!#1]c1[cH][cH]c(F)[cH][cH]1,816,750,KlekotaRoth,Un3206
3340,[!#1]c1[cH]c([!#1])c([!#1])c([!#1])[cH]1,825,751,KlekotaRoth,Un3340
3341,[!#1]c1[cH]c([!#1])c([!#1])c([!#1])c1[!#1],826,752,KlekotaRoth,Un3341
3474,[!#1]c1c([!#1])c([!#1])c([!#1])c([!#1])c1[!#1],836,754,KlekotaRoth,Un3474
3540,[!#1]c1n[cH][nH]c1[!#1],838,755,KlekotaRoth,Un3540
3543,[!#1]c1n[cH]n([!#1])c1[!#1],839,756,KlekotaRoth,Un3543
3545,[!#1]c1n[cH]nc([!#1])c1[!#1],840,757,KlekotaRoth,Un3545
3557,[!#1]c1nc([!#1])c([!#1])[nH]1,841,759,KlekotaRoth,Un3557
3670,[!#1]N([!#1])[!#1],848,761,KlekotaRoth,Un3670
3672,[!#1]N([!#1])[CH3],849,762,KlekotaRoth,Un3672
3673,[!#1]N([!#1])C(=O)[!#1],850,763,KlekotaRoth,Un3673
3714,[!#1]N([CH3])[CH3],853,764,KlekotaRoth,Un3714
3799,[!#1]n1[cH][cH]c(=O)[nH]c1=O,855,765,KlekotaRoth,Un3799
3818,[!#1]N1[CH2][CH2][CH2][CH]1C(=O)[OH],858,766,KlekotaRoth,Un3818
3955,[!#1]O[!#1],864,767,KlekotaRoth,Un3955
3956,[!#1]O[CH]([!#1])[!#1],865,768,KlekotaRoth,Un3956
3972,[!#1]O[CH2][CH]([!#1])[!#1],867,769,KlekotaRoth,Un3972
3994,[!#1]O[CH2][CH2][NH2],868,770,KlekotaRoth,Un3994
4003,[!#1]O[CH2][CH3],870,771,KlekotaRoth,Un4003
4006,[!#1]O[CH2]C(=O)[!#1],871,772,KlekotaRoth,Un4006
4075,[!#1]O[CH3],873,774,KlekotaRoth,Un4075
4083,[!#1]OC(=O)[CH]=[CH][!#1],875,776,KlekotaRoth,Un4083
4090,[!#1]OC(=O)[CH3],878,777,KlekotaRoth,Un4090
4119,[!#1]Oc1[cH][cH]c([!#1])[cH][cH]1,881,778,KlekotaRoth,Un4119
4168,[!#1]Oc1[cH]c([cH][cH]c1[!#1])[CH]([!#1])[!#1],885,779,KlekotaRoth,Un4168
4181,[!#1]OS(=O)(=O)[!#1],887,780,KlekotaRoth,Un4181
4185,[!#1]OS(=O)(=O)[OH],888,781,KlekotaRoth,Un4185
4204,[!#1]S(=O)(=O)[CH3],889,782,KlekotaRoth,Un4204
4223,[!#1]S(=O)(=O)[NH2],890,783,KlekotaRoth,Un4223
4241,[!#1]S(=O)(=O)c1[cH][cH]c([CH3])[cH][cH]1,892,785,KlekotaRoth,Un4241
4263,[!#1]S[!#1],893,786,KlekotaRoth,Un4263
4264,[!#1]S[CH]([!#1])[!#1],894,787,KlekotaRoth,Un4264
4284,[!#1]S[CH3],896,790,KlekotaRoth,Un4284
4290,[!#1]SC(=O)[!#1],897,791,KlekotaRoth,Un4290
4294,[!#1]S(c1[cH][cH]c([!#1])[cH][cH]1) ( [!#1]Sc1[cH][cH]c([!#1])[cH][cH]1),898,793,KlekotaRoth,Un4294
4333,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],899,794,KlekotaRoth,Un4333
4342,[O-][N+](=O)c1ccccc1,900,795,KlekotaRoth,Un4342
4377,Brc1ccccc1,901,797,KlekotaRoth,Un4377
4387,C(c1ccccc1)c2ccccc2,902,798,KlekotaRoth,Un4387
4418,C=CC=O,906,799,KlekotaRoth,Un4418
4421,C=N,907,800,KlekotaRoth,Un4421
4442,c1c[nH]cn1,908,801,KlekotaRoth,Un4442
4462,c1cc[nH]c1,913,802,KlekotaRoth,Un4462
4486,c1cc2ccccc2[nH]1,918,803,KlekotaRoth,Un4486
4490,C1Cc2ccccc2N1,920,804,KlekotaRoth,Un4490
4512,C1CCC(CC1)c2ccccc2,922,806,KlekotaRoth,Un4512
4513,c1ccc(cc1)c2ccccn2,923,807,KlekotaRoth,Un4513
4528,C1CCC=CC1,924,808,KlekotaRoth,Un4528
4547,c1ccc2ccccc2c1,925,809,KlekotaRoth,Un4547
4551,c1ccc2ncccc2c1,926,810,KlekotaRoth,Un4551
4553,c1ccc2ncncc2c1,927,811,KlekotaRoth,Un4553
4564,C1CCNC1,930,813,KlekotaRoth,Un4564
4565,C1CCNCC1,931,814,KlekotaRoth,Un4565
4568,C1CCOCC1,933,815,KlekotaRoth,Un4568
4569,c1ccsc1,934,816,KlekotaRoth,Un4569
4587,C1CNCCN1,937,818,KlekotaRoth,Un4587
4593,C1COC(C1)n2cnc3cncnc23,939,819,KlekotaRoth,Un4593
4608,c1cscn1,941,820,KlekotaRoth,Un4608
4614,c1nc2ccccc2[nH]1,942,822,KlekotaRoth,Un4614
4621,c1nc2ncncc2[nH]1,943,823,KlekotaRoth,Un4621
4632,CC,944,824,KlekotaRoth,Un4632
4676,CC(=O)C,946,825,KlekotaRoth,Un4676
4689,CC(=O)c1ccc(O)cc1,947,826,KlekotaRoth,Un4689
4691,CC(=O)c1ccccc1,948,827,KlekotaRoth,Un4691
4693,CC(=O)c1ccccc1O,949,828,KlekotaRoth,Un4693
4703,CC(=O)N,953,829,KlekotaRoth,Un4703
4710,CC(=O)NCC(=O)N,954,830,KlekotaRoth,Un4710
4736,CC(=O)O,956,831,KlekotaRoth,Un4736
4739,CC(=O)OCC=O,957,832,KlekotaRoth,Un4739
4747,CC(C)(C)C=O,959,834,KlekotaRoth,Un4747
4757,CC(C)(C)c1ccccc1,960,835,KlekotaRoth,Un4757
4759,CC(C)(C)CC=C,961,836,KlekotaRoth,Un4759
4768,CC(C)(C)O,964,837,KlekotaRoth,Un4768
4769,CC(C)(C)OC=O,965,838,KlekotaRoth,Un4769
4777,CC(C)C,968,839,KlekotaRoth,Un4777
4779,CC(C)C(N)C(=O)O,969,840,KlekotaRoth,Un4779
4781,CC(C)C(NC=O)C(=O)O,970,841,KlekotaRoth,Un4781
4783,CC(C)C=O,971,842,KlekotaRoth,Un4783
4788,CC(C)C1CCC(C)CC1O,972,843,KlekotaRoth,Un4788
4790,CC(C)c1ccccc1,974,844,KlekotaRoth,Un4790
4793,CC(C)CC(=O)N,975,845,KlekotaRoth,Un4793
4795,CC(C)CC(=O)O,976,846,KlekotaRoth,Un4795
4796,CC(C)CC(C)(C)C,977,847,KlekotaRoth,Un4796
4797,CC(C)CC(C)O,978,848,KlekotaRoth,Un4797
4798,CC(C)CC=O,979,849,KlekotaRoth,Un4798
4800,CC(C)CCC(=O)O,980,850,KlekotaRoth,Un4800
4801,CC(C)CCC=O,981,851,KlekotaRoth,Un4801
4802,CC(C)CCCC(C)C,982,852,KlekotaRoth,Un4802
4803,CC(C)CCO,983,853,KlekotaRoth,Un4803
4804,CC(C)CN,984,854,KlekotaRoth,Un4804
4806,CC(C)CNC=O,985,855,KlekotaRoth,Un4806
4807,CC(C)CO,986,856,KlekotaRoth,Un4807
4808,CC(C)COC=O,987,857,KlekotaRoth,Un4808
4810,CC(C)N,988,858,KlekotaRoth,Un4810
4812,CC(C)NC=O,989,859,KlekotaRoth,Un4812
4816,CC(C)O,992,860,KlekotaRoth,Un4816
4817,CC(C)OC(=O)N,993,861,KlekotaRoth,Un4817
4818,CC(C)OC=O,994,862,KlekotaRoth,Un4818
4822,CC(N)C(=O)O,995,863,KlekotaRoth,Un4822
4826,CC(NC=O)C(=O)N,998,864,KlekotaRoth,Un4826
4827,CC(NC=O)C(=O)O,999,865,KlekotaRoth,Un4827
4833,CC(O)C(=O)O,1000,866,KlekotaRoth,Un4833
4835,CC(O)C(O)C(O)C(O)CO,1001,867,KlekotaRoth,Un4835
4836,CC(O)C(O)C(O)CO,1002,868,KlekotaRoth,Un4836
4838,CC(O)c1ccccc1,1003,869,KlekotaRoth,Un4838
4842,CC(O)CN,1005,870,KlekotaRoth,Un4842
4844,CC(O)CO,1007,871,KlekotaRoth,Un4844
4848,CC=C,1008,872,KlekotaRoth,Un4848
4849,CC=CC(=O)C,1009,873,KlekotaRoth,Un4849
4863,CC=O,1011,876,KlekotaRoth,Un4863
4882,CC1(O)CCCCC1,1014,877,KlekotaRoth,Un4882
4898,Cc1c[nH]c2ccccc12,1016,878,KlekotaRoth,Un4898
4928,Cc1cc(O)cc(O)c1,1019,879,KlekotaRoth,Un4928
4936,Cc1ccc(C)c(C)c1,1021,880,KlekotaRoth,Un4936
4937,Cc1ccc(C)cc1,1022,881,KlekotaRoth,Un4937
4942,Cc1ccc(C=O)cc1,1023,882,KlekotaRoth,Un4942
4951,Cc1ccc(cc1)S(=O)=O,1027,883,KlekotaRoth,Un4951
4954,Cc1ccc(Cl)cc1,1028,884,KlekotaRoth,Un4954
4962,Cc1ccc(O)c(C)c1,1031,885,KlekotaRoth,Un4962
4967,Cc1ccc(O)c(O)c1,1032,886,KlekotaRoth,Un4967
4968,Cc1ccc(O)cc1,1033,887,KlekotaRoth,Un4968
4969,Cc1ccc(O)cc1C,1034,888,KlekotaRoth,Un4969
4972,Cc1ccc[nH]1,1035,889,KlekotaRoth,Un4972
4982,Cc1cccc(C)c1,1038,891,KlekotaRoth,Un4982
4987,Cc1cccc(C=O)c1,1040,892,KlekotaRoth,Un4987
4993,Cc1cccc(Cl)c1,1043,893,KlekotaRoth,Un4993
4999,Cc1cccc(O)c1,1044,895,KlekotaRoth,Un4999
5001,CC1CCCCC1,1046,896,KlekotaRoth,Un5001
5004,Cc1ccccc1C,1047,897,KlekotaRoth,Un5004
5006,Cc1ccccc1C=O,1048,898,KlekotaRoth,Un5006
5007,Cc1ccccc1Cl,1049,899,KlekotaRoth,Un5007
5008,Cc1ccccc1F,1050,900,KlekotaRoth,Un5008
5010,Cc1ccccc1N,1051,901,KlekotaRoth,Un5010
5014,Cc1ccccc1O,1052,902,KlekotaRoth,Un5014
5017,Cc1cccnc1,1054,903,KlekotaRoth,Un5017
5019,Cc1cccs1,1056,904,KlekotaRoth,Un5019
5048,CCC,1060,906,KlekotaRoth,Un5048
5053,CCC(=O)c1ccccc1,1061,908,KlekotaRoth,Un5053
5054,CCC(=O)CC,1062,909,KlekotaRoth,Un5054
5055,CCC(=O)N,1063,910,KlekotaRoth,Un5055
5056,CCC(=O)NC,1064,911,KlekotaRoth,Un5056
5057,CCC(=O)NC(C)C,1065,912,KlekotaRoth,Un5057
5062,CCC(=O)O,1066,913,KlekotaRoth,Un5062
5063,CCC(=O)OC,1067,914,KlekotaRoth,Un5063
5065,CCC(C)(C)C,1069,915,KlekotaRoth,Un5065
5067,CCC(C)C,1071,916,KlekotaRoth,Un5067
5068,CCC(C)CC,1072,917,KlekotaRoth,Un5068
5069,CCC(C)N,1073,918,KlekotaRoth,Un5069
5070,CCC(C)NC=O,1074,919,KlekotaRoth,Un5070
5073,CCC(CC)Cc1ccccc1,1075,920,KlekotaRoth,Un5073
5075,CCC(N)C(=O)O,1076,921,KlekotaRoth,Un5075
5076,CCC=C(C)C,1077,922,KlekotaRoth,Un5076
5079,CCC=O,1078,923,KlekotaRoth,Un5079
5083,CCc1c[nH]c2ccccc12,1080,924,KlekotaRoth,Un5083
5085,CCc1cc2c(=O)ccoc2cc1O,1082,925,KlekotaRoth,Un5085
5088,CCc1ccc(O)c(O)c1,1083,926,KlekotaRoth,Un5088
5089,CCc1ccc(O)cc1,1084,927,KlekotaRoth,Un5089
5090,CCc1ccccc1,1085,928,KlekotaRoth,Un5090
5100,CCCC,1087,929,KlekotaRoth,Un5100
5101,CCCC(=O)N,1088,930,KlekotaRoth,Un5101
5105,CCCC(=O)O,1089,931,KlekotaRoth,Un5105
5107,CCCC(O)CO,1091,932,KlekotaRoth,Un5107
5109,CCCC=O,1092,933,KlekotaRoth,Un5109
5110,CCCc1c[nH]c2ccccc12,1093,934,KlekotaRoth,Un5110
5111,CCCc1ccc(O)cc1,1094,935,KlekotaRoth,Un5111
5112,CCCc1ccccc1,1095,936,KlekotaRoth,Un5112
5114,CCCCC,1096,937,KlekotaRoth,Un5114
5115,CCCCC(=O)N,1097,938,KlekotaRoth,Un5115
5116,CCCCC(=O)O,1098,939,KlekotaRoth,Un5116
5117,CCCCC=O,1099,940,KlekotaRoth,Un5117
5118,CCCCc1ccccc1,1100,941,KlekotaRoth,Un5118
5120,CCCCCC,1101,942,KlekotaRoth,Un5120
5121,CCCCCC(=O)N,1102,943,KlekotaRoth,Un5121
5124,CCCCCC(=O)O,1103,944,KlekotaRoth,Un5124
5126,CCCCCC=O,1105,945,KlekotaRoth,Un5126
5127,CCCCCCC,1106,946,KlekotaRoth,Un5127
5129,CCCCCCC=O,1107,947,KlekotaRoth,Un5129
5130,CCCCCCCC,1108,948,KlekotaRoth,Un5130
5133,CCCCCCCC=O,1109,949,KlekotaRoth,Un5133
5135,CCCCCCO,1111,950,KlekotaRoth,Un5135
5136,CCCCCCOC=O,1112,951,KlekotaRoth,Un5136
5137,CCCCCN,1113,952,KlekotaRoth,Un5137
5138,CCCCCO,1114,953,KlekotaRoth,Un5138
5139,CCCCCOC=O,1115,954,KlekotaRoth,Un5139
5141,CCCCN,1117,955,KlekotaRoth,Un5141
5143,CCCCNC=O,1118,956,KlekotaRoth,Un5143
5145,CCCCO,1119,957,KlekotaRoth,Un5145
5146,CCCCOC=O,1120,958,KlekotaRoth,Un5146
5147,CCCCS,1121,959,KlekotaRoth,Un5147
5148,CCCN,1122,960,KlekotaRoth,Un5148
5149,CCCN(C)C,1123,961,KlekotaRoth,Un5149
5150,CCCNC=O,1124,962,KlekotaRoth,Un5150
5151,CCCNS(=O)=O,1125,963,KlekotaRoth,Un5151
5152,CCCO,1126,964,KlekotaRoth,Un5152
5154,CCCOC=O,1128,965,KlekotaRoth,Un5154
5157,CCl,1129,966,KlekotaRoth,Un5157
5158,CCN,1130,967,KlekotaRoth,Un5158
5160,CCN(C)CC,1131,969,KlekotaRoth,Un5160
5161,CCN(C)CC(=O)N,1132,970,KlekotaRoth,Un5161
5164,CCN(CC)C=O,1133,971,KlekotaRoth,Un5164
5165,CCN(CC)CC,1134,972,KlekotaRoth,Un5165
5166,CCN(CC)CC(=O)N,1135,973,KlekotaRoth,Un5166
5168,CCN(CC)CC=O,1137,974,KlekotaRoth,Un5168
5171,CCN(CC)CCN,1139,975,KlekotaRoth,Un5171
5172,CCN(CC)CCNC=O,1140,976,KlekotaRoth,Un5172
5175,CCN(CCO)C=O,1142,977,KlekotaRoth,Un5175
5176,CCN=C,1143,978,KlekotaRoth,Un5176
5183,CCNC(=O)C,1145,980,KlekotaRoth,Un5183
5185,CCNC(=O)CC,1146,981,KlekotaRoth,Un5185
5186,CCNC(=O)CO,1147,982,KlekotaRoth,Un5186
5187,CCNC(=O)N,1148,983,KlekotaRoth,Un5187
5189,CCNC=O,1149,984,KlekotaRoth,Un5189
5190,CCNCC,1150,985,KlekotaRoth,Un5190
5191,CCNCC(=O)N,1151,986,KlekotaRoth,Un5191
5192,CCNCC(O)CO,1152,987,KlekotaRoth,Un5192
5193,CCNCC=O,1153,988,KlekotaRoth,Un5193
5194,CCNCCO,1154,989,KlekotaRoth,Un5194
5195,CCNS(=O)=O,1155,990,KlekotaRoth,Un5195
5196,CCO,1156,991,KlekotaRoth,Un5196
5198,CCOC(=O)C,1157,993,KlekotaRoth,Un5198
5203,CCOC(=O)CC,1161,994,KlekotaRoth,Un5203
5211,CCOC(=O)N,1164,995,KlekotaRoth,Un5211
5214,CCOC=O,1165,996,KlekotaRoth,Un5214
5217,CCS,1166,997,KlekotaRoth,Un5217
