dtxsid;split_first;aver_toxval_cm;weight;exactMass;Un55;Un56;Un57;Un59;Un63;Un70;Un72;Un77;Un117;Un142;Un152;Un189;Un191;Un197;Un234;Un300;Un329;Un333;Un341;Un354;Un355;Un356;Un359;Un361;Un385;Un398;Un408;Un409;Un413;Un414;Un418;Un423;Un425;Un430;Un433;Un434;Un435;Un436;Un440;Un441;Un443;Un445;Un446;Un447;Un449;Un450;Un451;Un452;Un454;Un455;Un456;Un458;Un459;Un461;Un465;Un467;Un469;Un470;Un472;Un473;Un474;Un475;Un476;Un477;Un481;Un483;Un485;Un487;Un489;Un490;Un492;Un493;Un497;Un499;Un500;Un502;Un505;Un508;Un509;Un510;Un511;Un513;Un514;Un516;Un518;Un521;Un673;Un707;Un714;Un720;Un787;Un813;Un814;Un866;Un877;Un881;Un884;Un894;Un896;Un907;Un918;Un931;Un933;Un940;Un948;Un959;Un960;Un967;Un980;Un990;Un1019;Un1023;Un1044;Un1056;Un1057;Un1060;Un1064;Un1067;Un1068;Un1078;Un1079;Un1083;Un1094;Un1097;Un1099;Un1104;Un1111;Un1121;Un1132;Un1137;Un1140;Un1142;Un1145;Un1148;Un1164;Un1171;Un1173;Un1174;Un1184;Un1195;Un1200;Un1202;Un1207;Un1209;Un1210;Un1224;Un1225;Un1226;Un1227;Un1232;Un1239;Un1240;Un1262;Un1263;Un1283;Un1284;Un1292;Un1305;Un1328;Un1409;Un1410;Un1422;Un1426;Un1428;Un1500;Un1706;Un1752;Un1754;Un1790;Un1852;Un1912;Un2013;Un2062;Un2073;Un2085;Un2247;Un2562;Un2568;Un2974;Un3050;Un3053;Un3062;Un3195;Un3672;Un3673;Un3956;Un4003;Un4075;Un4263;Un4632;Un4736;Un4783;Un4798;Un4803;Un4807;Un4810;Un4816;Un4848;Un4863;Un5010;Un5048;Un5068;Un5079;Un5090;Un5100;Un5112;Un5116;Un5120;Un5130;Un5135;Un5141;Un5145;Un5148;Un5157;Un5158;Un5189;Un5190;Un5196;Un5214;Un5217;Un5290;Un5336;Un5351;Un6137;Un6221;Un8236;Un8237;Un8261;Un8264;Un8280;Un8285;Un8299;Un8310;Un8341;Un8390;Un8406;Un8421;Un8428;Un8433;Un8438;Un8455;Un8524;Un8559;toxval_pred_log
DTXSID1021378; TRAIN;1.0917718473536184;3.334841344536803;161.9042124;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-0.40399712324142456
DTXSID4021395; TRAIN;-3.4317647831242937;5;335.109290496;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;-3.1539626121520996
DTXSID4021395; TRAIN;-3.015677058043799;2.204396120752914;335.109290496;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;-3.1539626121520996
DTXSID4021395; TRAIN;-3.148717105177378;2.204396120752914;335.109290496;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;-3.1539626121520996
DTXSID4024193; TRAIN;-1.2611301985755374;3.334841344536803;228.055322;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1.3813683986663818
DTXSID4024193; TRAIN;-1.6743864204005487;2.4224149331700895;228.055322;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1.3813683986663818
DTXSID6020515; TRAIN;2.1575526475653595;3.334841344536803;73.052763849;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3619370460510254
DTXSID6020515; TRAIN;1.7461027149553607;2.4224149331700895;73.052763849;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3619370460510254
DTXSID3021932; TRAIN;1.1487458727446507;5;105.078978598;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6702640652656555
DTXSID3021932; TRAIN;0.6311101602170073;2.4224149331700895;105.078978598;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6702640652656555
DTXSID5020023; TRAIN;-2.8337393951783487;3.334841344536803;56.026214749;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.179786205291748
