dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID2032390,0.4650281182293401,0.40493542493673024,bluegill,LC50stat,330.0326684,C17H12Cl2N2O,-2.053528812568674,2.204396120752914
DTXSID6032431,0.6725548352324251,-0.2,bluegill,LC50stat,283.1339067,C15H22ClNO2,-1.7794370461812428,2.4224149331700895
DTXSID2032500,0.15353452232908332,0.2813860786374313,bluegill,LC50stat,345.0855743,C15H15ClF3N3O,-2.3843922824192147,2.729695190827301
DTXSID0032578,0.3187818783648592,-0.2,bluegill,LC50stat,354.049018598,C10H18N4O4S3,-2.2302815165220635,2.4224149331700895
DTXSID6032641,1.4985317331735826,-0.2,bluegill,LC50stat,240.9697338,C10H5Cl2NO2,-0.8834307647162417,2.4224149331700895
DTXSID7032688,-1.1959996993778568,-0.2,bluegill,LC50stat,350.188194697,C23H26O3,-3.7403012007358845,2.4224149331700895
DTXSID1034210,0.9982754283582342,0.5584934074926318,bluegill,LC50stat,350.120189532,C13H17F3N4O4,-1.5459417265356976,2.035287591877763
DTXSID2034382,-2.319006087910417,-0.2,bluegill,LC50stat,338.188194697,C22H26O3,-4.848164531303914,2.4224149331700895
DTXSID8034792,1.4561915006587511,-0.2,bluegill,LC50stat,267.056529077,C12H13NO4S,-0.9704116995361284,2.4224149331700895
DTXSID1037515,0.8782700370995056,0.7036755435548921,bluegill,LC50stat,291.0791082,C12H19ClNO3P,-1.5857409985727056,1.7802933309760751
DTXSID8037596,1.4140293730810574,-0.2,bluegill,LC50stat,213.104816677,C8H15N5S,-0.9145638928349352,2.4224149331700895
DTXSID8038801,0.84767148784449,-0.2,bluegill,LC50stat,309.158960252,C17H19N5O,-1.6425103501862899,2.4224149331700895
DTXSID9040265,0.6424148571888072,0.4059014020233806,bluegill,LC50stat,322.088889404,C11H13F3N4O4,-1.865560886712668,2.204396120752914
DTXSID7040287,1.4549056254724537,-0.2,bluegill,LC50stat,290.0822054,C15H15ClN2O2,-1.007615463090237,2.4224149331700895
DTXSID6040290,0.9656030744269977,0.2249047409989769,bluegill,LC50stat,291.961418,C9H10BrClN2O2,-1.4997223898406629,2.729695190827301
DTXSID6040325,0.7650309617966173,0.23492193096812425,bluegill,LC50stat,359.9602031,C11H12Cl4N2O3,-1.7912235263888354,2.729695190827301
DTXSID1040326,0.7706379565333361,-0.2,bluegill,LC50stat,337.079766447,C15H15NO8,-1.7570947278056548,2.4224149331700895
DTXSID3021932,2.652626002867314,-0.2,bluegill,LC50stat,105.078978598,C4H11NO2,0.6311101602170073,2.4224149331700895
DTXSID7020009,2.9664523150945024,-0.2,bluegill,LC50stat,41.026549101,C2H3N,1.3533873267510965,2.4224149331700895
DTXSID5020023,-0.6154953889402817,0.3671569104457804,bluegill,LC50stat,56.026214749,C3H4O,-2.3638866705341424,2.4224149331700895
DTXSID5020029,1.1432336678699644,0.19784229545397644,bluegill,LC50stat,53.026549101,C3H3N,-0.5812596968469543,3.254994260901688
DTXSID8020044,0.3420601231608732,-0.2,bluegill,LC50stat,58.041864813,C3H6O,-1.4216812341710785,2.4224149331700895
DTXSID5020152,1.0835346610095054,-0.2,bluegill,LC50stat,108.057514878,C7H8O,-0.9501203143426442,2.4224149331700895
DTXSID4020161,0.8112073712986252,0.3911346442321366,bluegill,LC50stat,154.078250322,C12H10,-1.376533966759255,2.4224149331700895
DTXSID9020168,2.560314006409631,-0.2,bluegill,LC50stat,141.9952203,C4H8Cl2O,0.40804028056369746,2.4224149331700895
DTXSID8020250,1.7181609752080258,0.4706122657544461,bluegill,LC50stat,151.8754108,CCl4,-0.4633264904367938,2.204396120752914
